Species.name_(queried_GBIF),,reason_no_map,IUCN?,to_check,Range_source,Range_source_website,Range_description,Range_errors,Action,Realm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bothrometopus elongatus,,NO GBIF,,,none,,,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bothrometopus gracilipes,,NO GBIF,,,Australian Antarctic Data Centre,,Heard Island - includes McDonald Island -Defined Area 52.97-53.2S; 72.36-73.83E,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bothrometopus parvulus parvulus,,NO GBIF,,,none,,,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bothrometopus randi,,NO GBIF,,,none,,,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brachyrhaphis episcopi,,,,,Fishbase,,Central America: Panama.,few points but restricted range - keep,fine,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Branchinecta paludosa,,,,,Natureserve,,Global Range: (>2;500;000 square km (greater than 1;000;000 square miles)) Branchinecta paludosa is found in Arctic and Subarctic seasonal wetlands; vernal pools and temporary pools in USA; Canada; Greenland; Iceland; Norway; Finland; Poland; and Russia. Also occurrs in eqivalent alpine habitats in the Rocky Mountains in Canada and USA. ,"range very strange, no way to verify, can't tell if undersampled or combining species",remove,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bufo alvarius,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=54567,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bufo boreas,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=3179,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bufo canaliferus,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=54602,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bufo canorus,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=3180,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bufo cognatus,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=54612,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bufo debilis,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=54626,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bufo exsul,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=3169,sparsely sampled,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bufo luetkenii,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=54695,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bufo marinus,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=41065,"widely introduced, might be hard to get orig range",remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,now genus = Gentianella
Bufo marmoreus,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=54702,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bufo mazatlanensis,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=54704,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bufo nelsoni,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=3181,sparsely sampled,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bufo woodhousii_fowleri,,GBIF error,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=54640,"if look up on gbif says there are 1990 points, but if do through automatic system get 11707 and download is unending.  So skip unless we want it.",remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugulina californica,,NO GBIF,,,.edu,http://www.wallawalla.edu/,"British Columbia, Canada to Galapagos Islands, Hawaii.  Especially common on the Channel Islands in California.",NO GBIF,remove,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullia rhodostoma,,,,,WoRMS,,"FROM REGIONAL OR THEMATIC SPECIES DATABASE
South Africa
Trusted: edited by a thematic editorEast Coast of South Africa BR
Trusted: edited by a thematic editorSouth Coast of South Africa BR",points in America,excl.points,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calathus melanocephalus,,,,,Fauna Europaea,,http://www.faunaeur.org/Maps/display_map_alternative.php?map_name=euro&map_language=en&taxon1=378935,points in Africa seem to be outliers,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Callinectes danae,,,,,WoRMS,,http://iobis.org/mapper/?taxon=Callinectes%20danae,range too sparsely sampled,remove,intertidal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calyptotis temporalis,,,,,Cogger (ed) Reptiles & Amphibians of Australia. 2000 (First published 1975). Ralph Curtis publishing. Florida,,Australia (Queensland) - Type locality: 9.15 km W of the Cathu State Forestry Office via the road to the native pine plantation in the Clarke Range and then 1.5 km anticlockwise on the plantation loop road; Cathu State Forest; central-east Queensland; or; more approximately; about 9 km SW of Elaroo; Qld. Elevation 685 m; 20ç49' S; 148ç31 'E.,"range really is very restricted, donêt exclude bc there are few points",fine,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camponotus americanus,,,,,Mississipps entomological museum ,http://www.mississippientomologicalmuseum.org.msstate.edu/Researchtaxapages/Formicidaepages/genericpages/Camponotus_americanus.html,"Eastern US from New England south to Florida and west to Oklahoma and Texas. Reported from all of the southeastern states except FL: AL, AR, GA, LA, MO, MS, NC, SC, TN ",,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camponotus castaneus,,,,,AntWeb,,NEARCTIC: USA (MA; NY; FL; OK; TX; IA),,fine,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camponotus chromaiodes,,,,,AntWeb,,https://www.antweb.org/bigMap.do?taxonName=formicinaecamponotus%20chromaiodes&project=pennsylvaniaants,,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,NO SP,,,none,,,no species name,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,NO SP,,,none,,,no species name,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camponotus cruentatus,,,,,AntWeb,https://www.antweb.org/bigMap.do?taxonName=formicinaecamponotus%20cruentatus&project=allantwebants,Distribution is Mediterranean,number of points is too small,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camponotus detritus,,NO GBIF,,,,,,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camponotus foreli,,,,,AntWiki,,Palaearctic Region: Algeria (type locality); Greece; Iberian Peninsula; Portugal; Spain.,"missing large parts of range (eg greece, portugal)",remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camponotus herculeanus,,,,,AntWiki,,"Nearctic Region: Canada; United States.
Palaearctic Region: Andorra; Armenia; Austria; Belarus; Belgium; Bulgaria; China; Croatia; Czech Republic; Denmark; Estonia; Finland; Georgia; Germany; Greece; Hungary; Iberian Peninsula; Italy; Kazakhstan; Kyrgyzstan; Latvia; Liechtenstein; Lithuania; Luxembourg; Netherlands; Norway; Poland; Republic of Macedonia; Republic of Moldova; Romania; Russian Federation; Slovakia; Slovenia; Spain; Sweden; Switzerland; Turkey; Ukraine.",missing Russia,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camponotus novaeboracensis,,,,,Wildlife N.Am.,http://www.wildlifenorthamerica.com,"Camponotus noveboracensis is found in northern parts of the United States in Washington in the west, and from around Ohio to News England in the east. It is also found in southern parts of Canada including Nova Scotia.",,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camponotus pennsylvanicus,,,,,AntWiki,,Canada; New Brunswick and Quebec. United States; eastern North America and in the south as far west as New Mexico.,"excl points in west coast states (cluster around Washington, point in California), point directly under great salt lake (only water body visible in west US, in utah), two overlapping points just NE of Great salt lake",excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,NO SP,,,none,,,no species name,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camponotus sylvaticus,,NO GBIF,,,AntWeb,,https://www.antweb.org/bigMap.do?taxonName=formicinaeCamponotus%20sylvaticus&project=allantwebants,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campostoma anomalum,,NO GBIF,,,Fishbase,,"North America: widespread across most of eastern and central USA in Atlantic, Great Lakes, Mississippi River, Hudson Bay basins from New York west to North Dakota and Wyoming and south to South Carolina and Texas, USA; Thames River system in Canada; from Galveston Bay in Texas to Rio Grande in Mexico.",NO GBIF,remove,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canonopsis sericeus,,NO GBIF,,,Australian Antarctic Data Centre,,Heard Island - includes McDonald Island / Kerguelen Islands,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canthon humectus_hidalgoensis,,,,,Halffter etal (2011) Coleopterists Bulletin,,"distributed throughout MX high plateau, high valleys, and Guatemala",missing Guatemala,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carcinus maenas,,NO GBIF,,,WoRMS,,,NO GBIF,remove,intertidal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,NO SP,,,none,,,no species name,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlia longipes,,,,,Cogger (ed) Reptiles & Amphibians of Australia. 2000 (First published 1975). Ralph Curtis publishing. Florida,,penninsulas of N Queensland and Northern Territory,one point seems on the north of Papua New Guinea; not matching rep-database range description,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlia munda,,,,,Cogger (ed) Reptiles & Amphibians of Australia. 2000 (First published 1975). Ralph Curtis publishing. Florida,,Australia (North Territory; Queensland; West Australia),points outside range,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlia pectoralis,,,,,Cogger (ed) Reptiles & Amphibians of Australia. 2000 (First published 1975). Ralph Curtis publishing. Florida,,Australia (SE Queensland),some points outside Queensland,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlia rhomboidalis,,,,,Cogger (ed) Reptiles & Amphibians of Australia. 2000 (First published 1975). Ralph Curtis publishing. Florida,,Australia (coastal Queensland),,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlia schmeltzii,,,,,Cogger (ed) Reptiles & Amphibians of Australia. 2000 (First published 1975). Ralph Curtis publishing. Florida,,Australia: New South Wales and Queensland,2 extra-limital outliers,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlia vivax,,,,,Cogger (ed) Reptiles & Amphibians of Australia. 2000 (First published 1975). Ralph Curtis publishing. Florida,,Australia (New South Wales; Queensland),point oustide described range ,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carpiodes cyprinus,,,,,Fishbase,,"North America: Great Lakes-St. Lawrence River, Hudson Bay and Mississippi River basins from Quebec to Alberta in Canada and south to Louisiana, USA; Atlantic Slope drainages from Delaware River to Altamaha River in USA; Gulf Slope drainages from Apalachicola River to Pearl River in USA.",points in Asia,excl.points,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cataglyphis bicolor,,,,,AntWiki,,"Afrotropical Region: Eritrea.
Palaearctic Region: Algeria; Canary Islands.",number of points is too small,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cataglyphis bombycina,,NO GBIF,,,AntWiki,,"Afrotropical Region: Mali; Saudi Arabia.
Palaearctic Region: Algeria; Israel; Libya (type locality); Tunisia.",NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cataglyphis cursor,,,,,AntWeb,, FRANCE. Palearctic / https://www.antweb.org/bigMap.do?taxonName=formicinaecataglyphis%20cursor&project=franceants,number of points is too small,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cataulacus horridus,,NO GBIF,,,AntWiki,,Known from Borneo; Indonesia (Sumatra); Singapore and West Malaysia.,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catostomus clarkii,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=62193,,remove.use.IUCN,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catostomus commersoni,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=202058,,remove.use.IUCN,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catostomus snyderi,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=4053,,remove.use.IUCN,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celatoblatta quinquemaculata,,NO GBIF,,,DOI: 10.1046/j.1365-3032.1998.2310001.x,,Otago; New Zealand,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cerastoderma edule,,,,,FAO, http://www.fao.org/fishery/species/3535/en,"coastal from Canary Islands all along W coast of Europe N to northern extent of Scndanavia, continuing E through white sea in russia.  Absent from mediterranean.  E of point og Gibraltar occurs along N coast of Africa into Algeria, but not along southern coast of Spain","excl N.Am, iceland, medditeranean countires (itally, greece, etc), black sea points",country.codes,intertidal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chamaeleo bitaeniatus,,,,,Reptile database,,Ethiopia; Kenya; S Sudan; Uganda; Tanzania; N/E Zaire (Democratic Republic of the Congo); Somalia; probably in Sudan (L. Chirio; pers. comm.),gbif has no points on Somalia or Sudan,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chamaeleo dilepis,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=176308,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chamaeleo ellioti,,,,,Reptile database,,Burundi;Kenya; S Sudan; Rwanda; Tanzania; Uganda; N/E Zaire (Democratic Republic of the Congo),missing south sudan (ie northern extent),remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chamaeleo hoehnelii,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=176315,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chamaeleo jacksonii,,,,,Reptile database,,Kenya (Kikuyu near Nairobi; highlands of central Kenya except of eastern slopes of Mt. Kenya); Tanzania (Mt. Meru); Kenya (eastern slopes of Mt. Kenya),introduced to USA; probably not present on Democratic Republic of the Congo,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chamaeleo schubotzi,,NO GBIF,,,Reptile database,,Kenya (Mt. Kenya); elevation 2750-4200 m,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charina bottae,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=62228,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chasmistes brevirostris,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=4585,,remove.use.IUCN,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chionactis occipitalis,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=63745,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chirodica chalcoptera,,NO GBIF,,,doi: 10.3897/zookeys.253.3414,,Namibia and the Republic of South Africa,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,NO SP,,,none,,,no species name,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chondrodactylus angulifer,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=178743,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chondrodactylus bibronii,,,,,Reptile database:Wikipedia,,South Africa; S Namibia (Kamanjab area); Swaziland. WIKIPEDIA: across southern Africa,"use wikipedia range, otherwise gbif range way too big.  Exlc points N of Angola (ie non-contiguous)",excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choromytilus chorus,,,,,WoRMS,,"FROM REGIONAL OR THEMATIC SPECIES DATABASE
Celtic Sea
Trusted: edited by a thematic editorCeltic Sea (origin: alien) [details]
English Channel
Trusted: edited by a thematic editorEnglish Channel (origin: alien) [details]
North Sea
Trusted: edited by a thematic editorNorth Sea (origin: alien) [details]
FROM OTHER SOURCES
Celtic Sea
Unreviewed: has not been verified by a taxonomic editorUnited Kingdom part of the Celtic Sea (origin: alien) [details]",points (W coast S Am) don't match range description (Europe) and are very sparse,remove,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chromis atrilobata,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=183653,,remove.use.IUCN,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chrysomela aeneicollis,,,,,sonoma.edu,,This beetle occurs in the Rocky Mountains and in the Sierra Nevada mountains of California. It is also found further north in Idaho; Montana; Oregon; Alberta; and British Columbia (Brown 1956).,v few points for v big range,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cirrhitichthys oxycephalus,,,,,Fishbase,,Indo-Pacific: Red Sea south to East London; South Africa (Ref. 5469) and east to the Marquesan Islands; north to the Mariana Islands; south to New Caledonia. Eastern Pacific: Gulf of California to Colombia and the Galapagos Islands (Ref. 9289).,points dont match description,remove,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clibanarius antillensis,,,,,Argu_elles-Tico_ et al. Tropical Zoology 23: 63-73 2010 ,,USA to Brazil,fits range description but unsure about N and S end of range,remove,intertidal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clubiona diversa,,,,,SRS British Spiders,,widespread in Britain but has a scattered Distribution in some areas. It is widespread in north-western and central Europe.,,fine,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clubiona similis,,,,,World Spider Catalog,,Palearctic,number of points is too small,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clubiona trivialis,,,,,World Spider Catalog,,Holarctic,,fine,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clupea herengus,,NO GBIF,,,FAO,http://www.fao.org/fishery/species/2886/en,Eastern Atlantic (northern Bay of Biscay northward to Iceland and southern Greenland; eastward to Spitzbergen and Novaya Zemlya; also Baltic; western Atlantic (southwestern Greenland; Labrador; southward to South Carolina).,NO GBIF,remove,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cnemidocarpa bicornuta,,,,,WoRMS,,"FROM OTHER SOURCES
New Zealand
Unreviewed: has not been verified by a taxonomic editorNew Zealand  Economic Zone [details]",get rid of all points outside New Zealand,excl.points,marine ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cnemidophorus sexlineatus,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=64287,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cnemidophorus tigris,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=64290,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coleonyx brevis,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=64034,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coleonyx variegatus,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=64039,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,now Lophozonia menziesii
NA,,NO SP,,,none,,no good range descriptions,no species name,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,NO SP,,,none,,no good range descriptions,no species name,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coluber constrictor,,,,,Reptile database,,"S Canada (incl. Saskatchewan)
USA (Washington; Oregon; California; Illinois; New Mexico; Texas; Oklahoma; Kansas; Nebraska; Minnesota; Colorado; Wyoming; Montana; South Dakota; Idaho; Utah; Iowa; Missouri; Arkansas; Louisiana; Mississippi; Alabama; Georgia; Florida; South Carolina; North Carolina; Virginia; West Virginia; Kentucky; Indiana; Illinois; Wisconsin; Ohio; Maryland; Pennsylvania; New Jersey; New York; Rhode Island; Connecticut; Massachusetts; S New Hampshire; S Vermont; S Maine; Tennessee [latrunculus: HR 31: 54])
E/SE Mexico (Yucatan; Durango); Belize; N Guatemala
constrictor: S Maine; New Hampshire; Massachusetts; Maryland; Pennsylvania; New Jersey; New York; Virginia; North Carolina; South Carolina; N Georgia; Rhode Island; Connecticut; NE Alabama.
anthicus: S Arkansas; Louisiana; E Texas. Type locality: _Siam (?)” (apparently in error).
etheridgei: WC Louisiana; adjacent Texas.
flaviventris: Montana; W North Dakota; east to Iowa and south to Texas; SW Louisiana; Arkansas; Colorado; Kansas; Missouri; Michigan; Wisconsin; Oklahoma; isolated populations in New Mexico and Texas.
foxii: S Ontario; NW Ohio to E Iowa and SE Minnesota; Wisconsin; an isolated population in Menominee Co.; Michigan (intergrades with flaviventris).
helvigularis: Lower Chipola and Apalachicola R. valleys in Florida panhandle and adjacent Georgia.
latrunculus: SE Louisiana north along the east side of the Mississippi to N Missouri.
mormon: Canada (British Columbia); USA (Oregon; California); Mexico
oaxacae: S Texas and Tamaulipas to C Veracruz; isolated records in Nuevo Le_n; Coahuila; Durango; Colima; Oaxaca; Chiapas; and Guatemala. Type locality: _Mexico”. Seems to intergrade with flaviventris in New Mexico and Texas.
ortenburgeri: Guatemala; Type locality: El Pet_n; Kalto SAbana; 4.8 km W La Libertad.
paludicola: Everglades; SE Florida; upper Florida Keys; E Florida.
priapus: SE states and north and west in Mississippi valley to S Indiana and SE Oklahoma; Lower Florida Keys; E Texas; Arkansas; Type locality: Florida; West Palm Beach.
",points outside range,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
