genus_species,latitude,longitude
Cyprinella lutrensis,37.91,-122.06
Cyprinella spiloptera,36.94,-81.05
Cyprinella spiloptera,NA,NA
Cyprinus carpio,19.14,72.82
Cyprinus carpio,55.71,37.57
Cyprinus carpio,58.44,38.42
Cyprinus carpio,42.08,-81.34
Cyprinus carpio,26.47,99.15
Cyprinus carpio,52.34,18.35
Cyprinus carpio,48.96,16.55
Danio rerio,33.22,-97.13
Danio rerio,25.67,91.93
Danio rerio,1.35,103.81
Gila robusta,NA,NA
Gila robusta,37.2,-113.26
Gobio gobio,52.34,18.35
Gobio gobio,NA,NA
Hybognathus placitus,35.66,-97.47
Hybognathus placitus,34.86,-96.73
Hybognathus placitus,33.03,-101.12
Hypophthalmichthys nobilis,34.95,-92.49
Hypophthalmichthys nobilis,26.47,99.15
Labeo rohita,19.14,72.82
Labeo rohita,18.93,72.82
Labeo rohita,18.5,73.96
Labeo rohita,19.45,75.64
Leuciscus idus,NA,NA
Leuciscus idus,52.34,18.35
Luxilus chrysocephalus,NA,NA
Luxilus chrysocephalus,39.97,-82.81
Luxilus cornutus,38.32,-92.54
Luxilus cornutus,NA,NA
Luxilus cornutus,43.64,-79.49
Luxilus cornutus,35.96,-83.92
Luxilus cornutus,42.6,-78.47
Luxilus cornutus,45.73,-78.4
Luxilus cornutus,40.79,-73.91
Meda fulgida,32.85,-110.61
Meda fulgida,NA,NA
Notemigonus crysoleucas,NA,NA
Notemigonus crysoleucas,45.83,-78.42
Notemigonus crysoleucas,41.65,-82.83
Notemigonus crysoleucas,29.48,-81.68
Notemigonus crysoleucas,35.66,-97.47
Notropis atherinoides,43.64,-79.49
Notropis atherinoides,41.65,-82.83
Notropis atherinoides,35.66,-97.47
Notropis atherinoides,34.86,-96.73
Notropis atherinoides,47.29,-89.98
Notropis atherinoides,42.08,-81.34
Notropis atherinoides,34.95,-92.49
Notropis hudsonius,42.08,-81.34
Notropis hudsonius,39.97,-76.48
Notropis hudsonius,41.24,-73.92
Notropis rubellus,36.94,-81.05
Notropis rubellus,NA,NA
Notropis rubellus,42.6,-78.47
Notropis stramineus,NA,NA
Notropis stramineus,42.6,-78.47
Pimephales notatus,36.94,-81.05
Pimephales notatus,38.55,-82.48
Pimephales notatus,NA,NA
Pimephales notatus,43.64,-79.49
Pimephales notatus,41.65,-82.83
Pimephales notatus,35.66,-97.47
Pimephales notatus,39.97,-82.81
Pimephales notatus,42.6,-78.47
Pimephales notatus,42.08,-81.34
Pimephales notatus,39.53,-76.77
Pimephales promelas,NA,NA
Pimephales promelas,33.22,-97.15
Pimephales promelas,34.18,-111.71
Pimephales promelas,35.75,-86.43
Pimephales promelas,33.21,-97.15
Pimephales promelas,35.21,-97.45
Rhinichthys atratulus,43.64,-79.49
